date,region,service_type,shipment_volume,total_weight,total_revenue,fleet_vehicles_available,warehouse_capacity_used,labor_available,weather_impact,competitor_activity
2024-12-21,Midwest,Supply Chain Solutions,108,293572.9485492156,70094.45867955519,22,47.459421295588534,173,Moderate,High
2024-07-10,Northwest,Supply Chain Solutions,221,458626.00484186923,225135.6902965182,26,63.24212492120126,186,None,Low
2024-09-16,Southeast,Supply Chain Solutions,145,261630.7480539879,150075.48806676726,81,91.31905855973841,58,Minor,Normal
2024-11-19,Midwest,Dedicated Contract Carriage,235,288487.5866311723,139026.74161366856,77,17.587297134838312,171,Severe,Normal
2024-04-28,Southeast,Supply Chain Solutions,99,163590.6363750812,12795.820138543706,55,50.80327626956085,130,None,High
2023-07-27,Southwest,Supply Chain Solutions,183,239913.8778421016,67593.29968770032,59,70.4801368419146,50,None,Normal
2023-06-26,Midwest,Dedicated Contract Carriage,246,649966.8404939322,172140.9080958729,62,82.75756311853394,159,None,Normal
2023-01-07,West,Dedicated Contract Carriage,123,269539.44696939434,87082.10933041913,21,44.913638564214956,57,None,Low
2023-06-26,Midwest,Distribution Center Management,261,314258.20448796276,51968.190031353995,93,56.580744877055814,163,None,Normal
2023-09-23,Southwest,Supply Chain Solutions,78,236632.23738338394,31364.028141116225,22,57.472190282547416,110,Severe,Low
2024-05-06,Northwest,Distribution Center Management,219,368829.5265175519,115965.89487073655,50,71.4069629847645,80,None,Low
2024-07-16,Northwest,Distribution Center Management,206,602593.3791840251,164880.83291211794,52,45.540196231200554,141,None,High
2023-06-23,West,Fleet Maintenance,149,286958.11049781885,146427.46303273202,44,75.35871390645379,97,Moderate,Normal
2023-09-09,Northeast,Fleet Maintenance,66,145604.33780322183,31844.84489423151,85,58.527482619346706,85,Minor,High
2023-12-25,West,Distribution Center Management,244,521184.767693732,167562.52499110528,70,48.86777161639303,140,Moderate,Normal
2024-08-09,West,Distribution Center Management,149,188397.117295305,40333.12620063696,78,81.06416526117471,183,None,Low
2023-02-15,West,Fleet Maintenance,237,526952.3277383306,71256.05914404099,21,50.218581907085905,71,None,High
2023-02-17,Northwest,Supply Chain Solutions,214,298827.27748622413,47919.22991084328,72,92.00914203524063,111,Moderate,Normal
2023-04-23,Southeast,Supply Chain Solutions,79,124223.33726057732,17923.580051002788,57,52.18542730842712,149,None,Normal
2024-06-06,West,Freight Management,152,149997.52266355604,77938.8100259333,80,52.96790775703707,88,None,Normal
2023-06-25,Midwest,Freight Management,61,107302.00588915756,15744.231813055845,56,77.06865412295545,107,None,Normal
2023-06-13,Midwest,Distribution Center Management,146,204118.50408098195,47459.102890908965,71,86.54301843933155,115,Moderate,Normal
2023-07-31,Southeast,Fleet Maintenance,183,251471.40152495724,40350.51606364606,25,35.8567902040268,58,Severe,Normal
2023-06-19,West,Transportation Management,332,378916.92569389706,111853.27348778854,94,72.17179205573767,170,Moderate,High
2023-07-23,Southwest,Transportation Management,56,140099.69669691834,19569.477387753508,71,34.10262907173377,166,None,Normal
2024-12-25,Northwest,Freight Management,168,307335.71306327503,44450.35310927437,52,61.490345709963904,113,None,Normal
2024-02-21,Southeast,Freight Management,260,326534.57684079814,108223.66578233326,98,73.60353374847428,149,Minor,Normal
2024-11-11,Southeast,Distribution Center Management,77,111630.71543439467,48123.63125070943,41,61.863746140828454,127,Minor,Normal
2023-06-28,Southeast,Transportation Management,129,164901.6397938177,52403.53388648364,96,78.36134300670523,82,None,Normal
2024-06-24,Southwest,Transportation Management,165,267089.5664055119,46572.77019165426,98,69.82844320502744,88,Moderate,Low
2023-02-23,Southeast,Transportation Management,331,367830.10653410514,62944.677978858,66,83.36975183011872,127,Moderate,High
2024-03-05,Midwest,Supply Chain Solutions,197,531518.8425614064,100164.0951812427,46,65.97899515614453,150,None,Low
2023-04-28,Midwest,Fleet Maintenance,246,477640.27583764325,136433.95074936806,42,43.90653681769813,83,None,Normal
2023-03-01,West,Transportation Management,214,468882.45737553766,254587.29400600464,29,74.32246610887928,134,Severe,Normal
2024-06-04,Southeast,Freight Management,143,181411.43377337352,173791.33331669724,41,79.22501934368995,173,None,Normal
2024-07-24,Midwest,Fleet Maintenance,147,355930.20022086805,69066.62204497072,64,57.9404722508509,199,None,Low
2023-04-03,Southwest,Fleet Maintenance,278,555836.5300043646,146437.14673698635,53,81.75717983924484,141,None,High
2024-12-17,Northeast,Supply Chain Solutions,159,232211.91730982854,55307.96947544733,40,36.924679710186375,181,None,Low
2024-06-04,Northeast,Freight Management,222,353633.3913686157,133116.2217357994,64,44.350982228516315,156,None,Normal
2023-09-07,Midwest,Fleet Maintenance,142,174732.5412304405,70209.53765312125,99,73.16762246712759,87,None,Low
2024-03-30,Southwest,Freight Management,118,250006.1957573545,102979.98959173055,91,27.495239600940142,71,None,Normal
2024-03-17,Northwest,Freight Management,184,312354.7073439077,79802.82601610775,37,70.18678760110879,83,None,High
2024-12-11,Southwest,Distribution Center Management,174,268000.9738786027,39261.61556231641,55,77.5221470884894,186,None,Normal
2023-02-16,Northeast,Supply Chain Solutions,213,407863.843506879,96149.62751426591,84,44.41201920562987,119,None,Normal
2024-01-27,Midwest,Fleet Maintenance,130,322743.699531693,49640.213940433954,92,37.121262298078314,93,None,High
2024-08-24,Northeast,Freight Management,93,170452.60319474927,72959.66581886388,79,35.927422185362815,78,Minor,High
2023-11-02,Southwest,Fleet Maintenance,138,221621.48345687802,100233.35819584974,37,62.88207342988621,199,None,Normal
2023-02-05,Northeast,Freight Management,109,237810.05078878035,59924.13675546246,39,61.68029437975253,176,None,Normal
2024-12-09,Southwest,Fleet Maintenance,82,144557.940468845,17826.05211850564,84,60.84951504783665,95,None,Normal
2023-07-02,Northeast,Dedicated Contract Carriage,116,259876.47800812373,46599.55517401693,60,74.50785867229561,186,None,High
2023-04-14,Southwest,Supply Chain Solutions,181,350863.20074985403,46195.97213547959,90,88.22991827319927,52,None,High
2023-07-09,Southeast,Distribution Center Management,70,124230.08385867681,17599.19501501213,88,55.19653651800665,177,Minor,Low
2023-09-09,Southeast,Distribution Center Management,65,172910.06609957133,32539.012014476015,33,73.00985948036364,70,None,Low
2024-11-07,West,Transportation Management,128,205750.01263841818,56454.661337121746,84,65.39983346429968,79,None,Normal
2023-01-16,Northeast,Transportation Management,174,325616.73960494826,76883.19088999578,36,65.10807859849031,151,None,Low
2023-07-21,Southeast,Transportation Management,172,345635.27561581775,55676.3559719805,46,43.04498368918215,178,Minor,Normal
2024-05-27,Northeast,Dedicated Contract Carriage,135,442733.44478106184,150681.97432218224,22,62.71901975371047,63,None,Normal
2024-04-09,Southwest,Fleet Maintenance,168,412514.30692966847,120061.92983848212,50,57.16364129759038,92,None,Low
2024-03-08,Northwest,Fleet Maintenance,218,549391.1063994466,105804.22056008657,91,51.321991416018165,88,None,Normal
2024-04-22,Northwest,Transportation Management,181,331972.48326230154,84002.97721456682,78,65.5411409022984,67,None,Normal
2024-04-26,Midwest,Fleet Maintenance,188,382383.1304539607,129074.57854662064,30,71.51218593934585,119,Minor,Low
2023-09-16,West,Fleet Maintenance,48,101591.55768739237,13301.572709921154,50,68.67513308126034,71,Minor,High
2024-07-03,Midwest,Freight Management,160,432953.2255337792,99403.89147925231,64,58.16542924976474,81,None,Normal
2023-06-14,Southwest,Supply Chain Solutions,151,261599.6545715516,67583.01584768663,66,93.49481506246586,159,None,Normal
2024-06-03,Southeast,Freight Management,209,494908.8704644684,46159.889687604584,51,39.195811645723154,147,Moderate,Normal
2024-10-25,Midwest,Transportation Management,139,278251.3024031111,124311.26636585467,70,75.73237572933563,156,None,Normal
2023-02-12,Midwest,Fleet Maintenance,108,239937.34489058325,27887.622313538086,67,66.53523841139001,60,None,Low
2023-07-12,Midwest,Distribution Center Management,233,412695.46594205283,175608.49602258293,78,21.899932507275864,83,None,Normal
2024-09-06,Northwest,Freight Management,125,342889.69312336657,65328.21926050336,47,63.22597609343896,58,None,High
2023-02-14,Northeast,Fleet Maintenance,307,594575.5892599868,174493.74492649504,22,73.33802656416113,83,None,Normal
2024-10-15,Southwest,Transportation Management,194,464025.6602242611,157024.97872137994,89,37.65616956744529,134,Minor,High
2024-06-14,Northeast,Fleet Maintenance,155,366441.35757535906,84706.88975428596,95,70.93730635217062,192,Minor,Normal
2023-03-10,Southwest,Dedicated Contract Carriage,156,347349.5881298724,73056.93086126013,99,64.62790304692419,136,None,Normal
2023-01-28,Northwest,Freight Management,114,297897.84822695295,59633.29775531493,84,63.82261601002537,106,Moderate,High
2024-04-18,Southwest,Fleet Maintenance,140,263788.04291921825,14167.368993910555,24,53.02542985265342,151,None,Normal
2024-12-28,Southeast,Transportation Management,77,123680.34793731406,21590.23098168815,48,65.57294411512616,126,None,Normal
2023-09-03,Southeast,Supply Chain Solutions,40,64383.901231537835,16219.516181505056,99,77.11526672614511,180,Minor,Normal
2023-04-25,Southwest,Distribution Center Management,170,284461.2522474415,55620.279757564065,58,54.78669287369613,156,None,Normal
2023-09-04,Southeast,Transportation Management,88,152036.24922584323,19010.831518147177,89,61.90224940752126,107,None,Normal
2023-04-02,Northeast,Transportation Management,116,184449.19429786102,32829.96053504297,98,70.68797860019399,103,None,Normal
2023-07-11,Northwest,Dedicated Contract Carriage,177,416575.70891709893,72678.61286808571,56,56.80563642551459,79,Severe,Low
2024-02-14,West,Distribution Center Management,281,466607.8734892304,62061.84375254977,75,69.13199522233126,176,Moderate,High
2024-09-13,Northeast,Dedicated Contract Carriage,156,174474.0111464019,85000.69190111688,77,71.35445961344536,96,Minor,Normal
2023-01-03,Southwest,Transportation Management,163,319269.38176399516,84946.04485476337,80,57.664405502101545,59,None,Normal
2024-07-04,West,Transportation Management,136,271181.8820038075,52308.72738656148,99,79.01844153458197,181,None,Normal
2024-07-23,Northwest,Transportation Management,119,266094.99360604887,49356.022205534275,84,70.81085613922347,135,None,High
2023-02-05,West,Freight Management,133,268285.30856774095,44544.57329416427,51,57.80003469292927,144,Minor,Low
2024-12-06,Northeast,Distribution Center Management,127,182449.8177825493,75500.88271974643,41,56.180861792496,50,None,Normal
2024-03-08,West,Dedicated Contract Carriage,195,176997.48610896053,99194.10904970413,71,87.54671994670362,156,None,Normal
2023-06-17,Southwest,Transportation Management,146,262536.6722939859,40868.66382150378,99,56.109735514695494,114,None,High
2024-11-26,Northeast,Freight Management,137,273209.81967840885,33638.72771571342,49,60.70313394229363,187,None,High
2024-05-09,West,Fleet Maintenance,144,289929.3597923379,119294.30326946007,50,46.48227174622744,173,None,Normal
2023-11-11,West,Distribution Center Management,46,116675.27553626518,21089.22050153122,57,73.8540526355599,75,Minor,Normal
2023-10-08,Southeast,Distribution Center Management,73,155778.9849562065,38588.89132438269,21,69.32644676748536,130,None,Low
2024-01-02,Midwest,Freight Management,125,212372.65577563096,119030.79214371249,81,74.90344848015307,188,None,Low
2023-05-15,Northeast,Supply Chain Solutions,175,245404.7874330164,73394.30054554161,82,30.424818637048844,165,Moderate,High
2023-11-15,Midwest,Fleet Maintenance,194,352203.8983746496,45018.51453951981,35,65.03541571469692,86,None,Normal
2024-04-02,Northeast,Transportation Management,231,352576.621085852,139670.59952326096,73,78.3748798421062,85,None,Normal
2024-01-20,Southwest,Freight Management,131,291702.48955667444,39975.09626521676,72,57.161589075319405,194,None,Normal
2023-12-02,Northwest,Distribution Center Management,60,120816.24912813448,25042.764646170723,30,64.82459890206349,118,None,Normal
2023-01-27,Midwest,Freight Management,228,484085.44124982116,71263.06159976602,62,48.54399901799888,169,None,Low
2023-04-10,West,Freight Management,298,419389.5222795164,124227.87799899113,59,62.46802681264888,138,Moderate,Normal
2023-09-28,Southeast,Supply Chain Solutions,153,316583.56043227756,100170.01450860176,83,92.59943563987098,82,None,Normal
2023-12-20,Southeast,Supply Chain Solutions,199,390484.83240481705,82546.30504547404,64,59.33219297703395,166,None,Normal
2024-06-19,Northwest,Dedicated Contract Carriage,208,259142.36318057784,57355.66568726981,78,89.48877651690039,139,None,Normal
2023-02-16,Southeast,Dedicated Contract Carriage,146,249860.4928867349,42724.193334069074,45,67.62529455044421,51,Minor,High
2023-09-03,West,Distribution Center Management,84,187426.51477729005,27762.209787870877,66,62.87131759453929,84,None,Normal
2023-06-22,Southeast,Distribution Center Management,195,351367.6434053878,82481.21392425391,99,55.75421753613655,193,None,Normal
2023-03-22,Southeast,Transportation Management,312,812716.4135180791,74267.64982224737,28,52.6168665050367,199,Minor,Normal
2023-03-03,Midwest,Distribution Center Management,282,534107.6943279142,185593.24942548454,42,64.31216198253664,104,None,Normal
2023-09-20,Southeast,Transportation Management,146,198081.4127322527,22965.671283526386,85,87.25335405337324,93,None,Normal
2023-03-14,Midwest,Fleet Maintenance,231,567883.5383606768,102948.076122696,64,63.76917276990005,98,Severe,Normal
2023-12-25,Southeast,Supply Chain Solutions,159,250280.5477599608,38215.83576872273,92,45.418027084567534,123,None,Normal
2023-06-11,Midwest,Supply Chain Solutions,119,361337.1945354512,23306.706410730632,92,69.24453264255133,144,None,Normal
2024-07-02,Northeast,Supply Chain Solutions,267,466431.4428378097,165996.23077482896,27,64.88511886888934,178,None,Low
2023-11-10,Northwest,Distribution Center Management,70,88914.02359702266,12456.672741811493,72,77.96333584695816,159,None,Normal
2023-10-31,Northeast,Fleet Maintenance,135,197023.19910467093,38077.99600162585,85,59.064855725189055,170,None,Normal
2024-09-30,Northeast,Supply Chain Solutions,136,358288.7442423163,38020.614030073964,73,50.94511719413174,97,None,Low
2024-01-16,Southwest,Supply Chain Solutions,165,463260.1626269122,129578.30147454985,44,35.50545979462615,126,None,High
2024-11-15,Southeast,Transportation Management,115,226575.81125005306,35836.68155588526,28,59.84392461236469,93,None,Normal
2024-02-26,Southwest,Transportation Management,228,504743.6922902983,84611.02659186206,49,72.02984216148498,97,None,Low
2023-07-19,Midwest,Transportation Management,124,236835.79142967492,56972.22938871033,60,58.37945033464462,170,None,Normal
2024-04-17,Midwest,Fleet Maintenance,203,491948.26885100524,102538.5114132393,94,37.493056773880035,199,None,Normal
2024-09-11,Northeast,Dedicated Contract Carriage,110,154925.69043523388,99110.34297443442,89,67.66027131176887,55,Minor,Normal
2023-09-26,Northwest,Transportation Management,163,389526.1443625445,56098.964497183,88,61.934585580638725,149,None,Normal
2023-12-19,Northwest,Dedicated Contract Carriage,180,429835.98010362417,76607.33500962441,58,74.02827469706146,190,None,Normal
2023-07-15,Northwest,Fleet Maintenance,59,117322.77539626881,15260.546785916646,51,64.59213761008205,144,Minor,Normal
2023-05-04,Northwest,Fleet Maintenance,169,389324.94801836554,51042.480150734635,58,46.25621064866788,80,None,Normal
2023-10-21,West,Supply Chain Solutions,69,110386.6278401933,14689.839047330526,40,86.21001597142535,176,None,Normal
2023-09-27,Northwest,Fleet Maintenance,105,182386.79430602488,74429.95630383541,71,70.57585142797231,108,None,Normal
2024-09-30,West,Transportation Management,83,146253.95900175796,59529.11813847783,74,80.33239666095079,109,Minor,Normal
2024-10-24,Southeast,Freight Management,188,270642.9648729841,69583.64672639483,78,81.56012485030315,82,Minor,High
2024-01-20,Northeast,Fleet Maintenance,85,199790.66953045139,21223.8990936048,60,67.8859496628968,125,Moderate,Normal
2023-06-04,Midwest,Supply Chain Solutions,79,190851.15790552608,40920.34131860891,45,76.90273235757147,124,None,Normal
2023-09-30,West,Dedicated Contract Carriage,94,174115.95211635478,53953.07307178186,23,68.23021756302053,89,Minor,Normal
2024-09-01,Northwest,Transportation Management,58,117337.39351594927,20590.474720012033,60,42.13334704221472,50,Moderate,Low
2023-11-23,Southeast,Supply Chain Solutions,178,560183.559038547,83023.4944371756,30,69.92279125704523,74,None,Normal
2023-08-27,Southeast,Freight Management,38,87467.94504254755,11713.408908730846,74,66.08876339926633,125,None,Normal
2024-04-04,Northwest,Dedicated Contract Carriage,249,418030.15930426866,148020.27368007484,27,87.74967966588282,186,None,Normal
2024-07-28,West,Transportation Management,79,179452.90889211016,38326.114571534345,42,52.51058041498043,188,Moderate,Normal
2023-06-14,Northwest,Transportation Management,190,466178.11875391455,109355.29558212284,63,63.55651203401155,78,Minor,Low
2024-05-06,Northeast,Freight Management,195,383072.36019148596,139281.74702174732,53,56.47057365378482,197,None,High
2023-02-11,Southwest,Freight Management,93,168122.6985990087,33106.96793253176,42,58.77683693741085,119,Minor,Normal
2024-09-25,Southeast,Freight Management,136,291573.1895901094,40254.225700229035,64,51.77953988615426,61,None,Low
2023-08-24,Northwest,Dedicated Contract Carriage,128,334987.3975801413,82601.9582504382,20,76.69856754775466,145,None,High
2024-02-12,Northwest,Dedicated Contract Carriage,157,403671.38650951296,26982.554143602538,90,84.36002237240201,168,Severe,High
2023-05-16,Southeast,Transportation Management,262,432620.8796881239,59699.84660733604,72,49.50551500187113,129,None,Normal
2023-09-19,Southeast,Transportation Management,165,227968.50666797222,81364.29643256882,38,45.116402492451975,120,None,High
2024-10-22,Northeast,Fleet Maintenance,77,167840.57819085085,17359.14211015112,68,37.292991778411505,89,Severe,High
2023-04-18,West,Supply Chain Solutions,301,538958.9707331877,167893.38722423435,58,89.76510616612484,151,Severe,Normal
2023-04-21,Southeast,Fleet Maintenance,274,359849.84862621594,198834.96989988285,72,75.63519734860904,148,None,Low
2023-08-01,Northeast,Supply Chain Solutions,176,386049.9682636458,62778.51348352525,75,69.68577602220176,181,None,Normal
2023-07-28,Midwest,Transportation Management,178,396041.50135216495,56042.58295602977,42,90.0702964714136,129,None,Normal
2023-09-05,Midwest,Supply Chain Solutions,129,284443.9847585803,79203.55532304732,87,98.21380405395212,104,None,High
2023-07-07,Northeast,Freight Management,207,499585.0172322266,54954.93777465959,35,36.5591244007627,149,None,High
2023-12-18,Northeast,Distribution Center Management,94,150755.01724431038,28375.1766288906,65,43.23693303459593,137,Minor,High
2024-12-25,Northwest,Distribution Center Management,134,273058.4942137866,59781.00261220954,42,89.107517353329,169,None,High
2023-01-29,Northeast,Fleet Maintenance,88,158266.3547049919,48009.61202245701,56,83.24079669019659,142,None,Low
2023-07-16,Southeast,Freight Management,81,154797.155503643,51098.95195638187,21,65.51349121589016,155,Minor,High
2024-10-14,Northwest,Distribution Center Management,127,287290.2910928687,59418.35444182804,99,63.69288941415926,69,Minor,Normal
2023-05-21,West,Distribution Center Management,94,227404.70557753372,34294.465349882725,64,49.25342118459775,108,None,Normal
2023-06-20,West,Freight Management,214,400887.21535723604,56057.18806691658,59,35.25277077763255,120,Moderate,Low
2023-01-15,Midwest,Transportation Management,85,111455.8938466724,14264.384616947846,87,57.83051867655686,120,None,Low
2023-03-29,Southeast,Fleet Maintenance,181,279802.57344117964,263647.50824218144,41,81.03496831247138,157,Moderate,High
2023-04-23,Northeast,Distribution Center Management,115,264876.5536239353,31939.04610666779,84,65.61694274458378,178,Minor,High
2023-02-22,Southeast,Transportation Management,160,456052.2406572686,63776.96505739653,95,71.64465856722381,56,None,Low
2024-01-09,Northeast,Supply Chain Solutions,233,479106.69797460316,150050.72969967054,41,50.97698991802305,120,None,Normal
2023-01-24,Northeast,Distribution Center Management,176,425208.936844787,46853.50196693154,67,35.755749561099215,59,Moderate,Normal
2024-10-12,Northwest,Fleet Maintenance,86,162092.5044113716,26556.955282964525,52,78.75759913091774,140,None,Normal
2024-05-14,Northwest,Dedicated Contract Carriage,284,693708.8284949765,112210.13539135833,30,63.75944363777787,57,None,Normal
2023-01-06,Southeast,Supply Chain Solutions,174,299781.89631664613,69087.09567264492,86,45.23355871018125,102,None,Normal
2024-04-05,Midwest,Freight Management,244,529549.6613819926,115040.26153112625,66,32.03473599841663,110,None,Normal
2024-09-13,Northeast,Supply Chain Solutions,89,135527.64641063946,21928.86973269795,85,71.07929440733791,191,None,Normal
2023-12-09,Southwest,Dedicated Contract Carriage,41,95096.16897656558,14843.47094655915,71,81.77587249638513,114,Minor,Normal
2024-04-04,Northeast,Distribution Center Management,276,754216.0208640286,183288.66430049564,47,58.10892845292873,111,None,High
2023-12-02,West,Freight Management,52,69921.62218478331,22928.59310767287,44,61.748389264819735,132,Moderate,Normal
2024-08-20,Midwest,Supply Chain Solutions,129,316431.10191303643,65467.2896393148,26,85.24391756747443,181,Moderate,High
2023-07-17,West,Transportation Management,117,227690.97096123925,36268.47320226766,90,58.21110298267572,97,None,Normal
2023-01-21,Southwest,Transportation Management,103,159492.802824361,33388.85920210576,36,25.05919676404769,122,Severe,Normal
2024-08-15,Southwest,Dedicated Contract Carriage,153,241142.9166836135,66726.28878854042,27,61.58234549295785,112,Moderate,Normal
2023-08-20,Northeast,Freight Management,74,115092.26853236876,29734.318791068716,43,60.75956804990462,160,None,Normal
2024-07-23,West,Distribution Center Management,123,164662.90276604216,39302.58108130847,42,45.604637861709946,154,None,Low
2024-02-08,Southeast,Dedicated Contract Carriage,211,424176.2554928065,68056.92753116408,86,60.26979337558501,117,None,Normal
2024-01-09,Midwest,Dedicated Contract Carriage,164,435830.7200013562,50513.02837861319,68,77.90981580997178,199,None,Normal
2024-04-28,West,Dedicated Contract Carriage,101,267241.657117677,19839.336540163946,32,74.21754179730522,120,Severe,Low
2024-04-10,West,Fleet Maintenance,192,413170.6026048523,113932.41701046439,71,57.18841011179443,66,None,Normal
2024-07-20,Southeast,Fleet Maintenance,82,140160.01881476783,13820.88781396714,90,53.11214601845894,78,None,Normal
2024-06-27,West,Supply Chain Solutions,198,418841.5906067237,198228.41945452132,37,49.74566448032251,141,None,Normal
2024-01-18,Northwest,Supply Chain Solutions,227,466733.18631656223,106244.06948456228,25,78.54615596270614,199,Minor,Low
2023-02-07,Northwest,Supply Chain Solutions,131,176053.5214253126,86532.0812575036,77,52.08268031255996,116,None,Normal
2023-02-18,West,Transportation Management,134,335844.202036991,48245.28682949891,53,38.22896299438654,149,Moderate,Normal
2024-07-10,Southeast,Supply Chain Solutions,261,498462.7586733254,99638.01100675196,23,43.990532761486655,165,None,Normal
2023-03-17,Northeast,Supply Chain Solutions,322,140675.27553133987,105912.60458610172,67,80.97656980461375,159,None,Normal
2024-12-09,Northwest,Freight Management,180,371085.2782637595,101681.5448024531,63,57.67937110671518,139,None,Normal
2023-05-23,Southeast,Transportation Management,230,344642.7994885739,126788.0601186675,80,67.7546134608096,115,None,Normal
2024-03-14,Southwest,Distribution Center Management,238,785264.919359382,257799.55424793996,27,40.92878595483686,130,None,Normal
2024-12-05,Midwest,Freight Management,140,222350.35488996553,50344.230605660676,66,66.37335407653701,76,None,Normal
2023-02-15,Midwest,Distribution Center Management,233,270112.13038963504,61978.6367808661,53,47.64712039053504,62,None,Normal
2024-09-12,West,Freight Management,157,242152.94800269295,31852.86155977705,71,56.54607566177435,181,Minor,Normal
2023-01-22,Southeast,Distribution Center Management,73,183342.55432135286,16562.025659695362,74,51.68367694623692,96,None,Normal
2023-07-25,Northeast,Fleet Maintenance,104,241528.88429470817,63327.578258113586,39,68.41948865004582,182,None,Low
2023-07-24,Northwest,Transportation Management,146,198460.9851055312,48285.29710191097,81,71.56626644609089,178,Minor,Normal
2024-06-30,Northeast,Distribution Center Management,89,185253.76591814353,28360.90922901629,88,83.83366397289115,92,Minor,High
2024-04-26,Midwest,Fleet Maintenance,329,531329.0139733662,209878.65486226795,81,78.66498527960121,178,Minor,High
2024-11-02,West,Distribution Center Management,66,115291.28166401877,22156.957859952705,27,72.15738757541577,157,None,Normal
2024-09-16,West,Freight Management,183,321798.763985685,86164.83817290438,40,62.94625959731249,137,None,Normal
2023-04-10,Northwest,Transportation Management,167,273011.5557234577,58774.308497778926,39,62.24888254650538,92,None,Normal
2023-03-04,Midwest,Distribution Center Management,127,279612.20912934357,46148.74661725902,26,72.53581376461595,165,None,Low
2023-11-09,Midwest,Freight Management,139,241830.8997381093,84015.27903184072,79,50.357909556126515,191,Moderate,Normal
2023-02-22,Northwest,Freight Management,267,402459.48561622476,163921.9242982215,77,76.70285666021549,107,Minor,Normal
2024-12-02,Southwest,Supply Chain Solutions,143,213940.2506847373,34554.428582863555,42,42.4023464893871,178,Minor,Normal
2023-12-07,Northeast,Transportation Management,153,368509.4650321435,28323.45926768621,43,82.0647226061411,127,None,Normal
2024-01-18,Southwest,Dedicated Contract Carriage,196,577129.802043175,53004.37784644507,49,62.832622392438395,148,None,Low
2024-10-05,Midwest,Transportation Management,50,55955.574783209115,23790.623229060922,49,54.2585956054041,132,None,Normal
2023-11-18,Southeast,Freight Management,54,107921.69219103812,16278.892295583077,39,68.90231854332205,51,Severe,Normal
2024-05-19,Northwest,Fleet Maintenance,148,149143.9458525597,24877.01539171115,99,70.64305004051711,156,None,Normal
2023-08-01,West,Distribution Center Management,152,261042.1107599878,79719.10794533395,95,68.13331709751341,154,None,High
2023-12-03,Southeast,Transportation Management,91,269651.5176562904,69851.02336689156,37,83.0605140793815,94,None,Normal
2023-02-25,West,Fleet Maintenance,112,137303.7022941666,78885.19087577196,99,30.52957374319365,114,Minor,High
2023-09-20,Northwest,Freight Management,78,254441.62824979387,58915.69396262458,38,66.87579480411796,95,Moderate,Normal
2024-07-27,Midwest,Distribution Center Management,80,182693.59931169468,37293.106809850375,49,83.3801548252751,138,None,High
2024-05-13,Midwest,Supply Chain Solutions,256,828466.8785547805,79519.01727058565,82,70.90335270325465,138,None,High
2023-03-30,Southeast,Fleet Maintenance,276,633509.4015572496,134807.84393897187,25,76.00855646250781,115,None,Normal
2024-06-25,Midwest,Freight Management,204,286601.8161886865,48786.93179155803,23,58.07663052962957,161,None,Normal
2024-06-25,Midwest,Fleet Maintenance,154,201521.21378577506,84435.79983812384,22,45.92394967640746,166,None,Normal
2024-10-20,West,Supply Chain Solutions,65,118090.0226265122,24843.710527685555,25,91.54055220921067,168,None,High
2023-03-25,West,Dedicated Contract Carriage,101,246688.29135977553,55106.682028474956,41,89.40361578701553,132,None,Normal
2023-08-11,West,Transportation Management,107,204120.29490841934,47415.68065081616,68,43.8549121159391,118,None,Normal
2024-12-04,Southeast,Dedicated Contract Carriage,177,294155.3518993579,63415.76653197102,59,86.77885657137168,159,None,High
2023-05-08,Midwest,Dedicated Contract Carriage,207,273272.3195117152,160607.09975478132,52,21.735802126055855,86,None,Low
2023-10-12,Midwest,Dedicated Contract Carriage,161,337788.5934820789,66199.86331596563,90,61.70311316242636,177,Moderate,Normal
2023-04-11,West,Fleet Maintenance,198,259493.03612455024,58265.229407362734,38,52.034069298318094,150,None,Normal
2024-01-06,Northeast,Fleet Maintenance,117,245345.36996596496,59137.312712912215,74,66.91350377536415,159,None,High
2024-03-02,Southeast,Distribution Center Management,91,217340.31746536272,37709.68095637891,60,87.28535857616504,190,Minor,Normal
2024-12-19,Southeast,Dedicated Contract Carriage,79,181913.01532377253,13331.961351864864,25,53.811493005387455,164,Moderate,Normal
2024-10-13,Southwest,Fleet Maintenance,78,135778.0908445601,17316.53625780619,98,55.89093822467737,116,Moderate,Normal
2023-06-16,Northwest,Freight Management,204,359635.3081266343,122197.33576747004,20,39.21482478447966,191,None,High
2024-03-24,Midwest,Dedicated Contract Carriage,156,311140.6744222553,46924.287570125605,50,39.37024211447557,107,Severe,Normal
2024-10-01,Northeast,Dedicated Contract Carriage,137,241012.490472031,66473.54749444878,61,78.12792653063289,188,Minor,Normal
2024-11-19,Northeast,Supply Chain Solutions,200,483659.632122104,118765.05286683924,89,76.69560323374466,193,None,Normal
2023-03-06,Southwest,Dedicated Contract Carriage,162,246977.87915492375,46976.19658985854,86,80.17408996884049,82,Minor,Normal
2024-06-13,Midwest,Fleet Maintenance,234,521355.9116282,53824.092326755446,38,66.12245087581898,125,Moderate,Low
2024-08-20,West,Distribution Center Management,198,385368.72512971965,36559.63737740439,48,49.42128827815451,106,Moderate,Low
2023-08-31,West,Transportation Management,151,380654.1838525119,74345.34498963949,57,57.42705807579524,69,Severe,Low
2023-12-21,West,Dedicated Contract Carriage,184,412574.822062355,300940.86808092135,65,65.7677591443342,160,None,Normal
